Brand-Name,Audience score,Price,Trail terrain,Shock absorption,Energy return,Traction,Arch support,Weight lab Weight brand,Lightweight,Drop lab Drop brand,Strike pattern,Size,Midsole softness,Difference in midsole softness in cold,Plate,Toebox durability,Heel padding durability,Outsole durability,Breathability,Width / fit,Toebox width,Stiffness,Torsional rigidity,Heel counter stiffness,Lug depth,Heel stack lab Heel stack brand,Forefoot lab Forefoot brand,Widths available,For heavy runners,Season,Removable insole,Orthotic friendly,Waterproofing,Ranking,Popularity
Nike Vomero Plus,92 Superb!,3361090 Rp,-,High,High,Moderate,Neutral,10.2 oz / 289g 10.1 oz / 285g,,9.6 mm 10.0 mm,Heel Mid/forefoot,True to size,Soft,Small,0,Decent,Good,Good,Moderate,Medium,Medium,Stiff,Stiff,Moderate,‐,42.3 mm 45.0 mm,32.7 mm 35.0 mm,Normal Wide X-Wide,0,All seasons,1,1,-,#20 Top 6%,#4 Top 2%
Nike Vomero Premium,79 Good!,4547350 Rp,-,High,Moderate,High,Neutral,11.5 oz / 326g 12.4 oz / 351g,0,8.8 mm 10.0 mm,Heel Mid/forefoot,-,Soft,Small,0,Decent,Good,Good,Moderate,Medium,Narrow,Stiff,Stiff,Stiff,‐,50.1 mm 55.0 mm,41.3 mm 45.0 mm,Normal,0,All seasons,1,1,-,#129 Top 35%,#10 Top 3%
Nike Wildhorse 10,"91
 Superb!",$165,LightModerate,High,Moderate,-,Neutral,11 oz / 312g 11 oz / 311g,0,10.9 mm 9.5 mm,Heel,True to size,Soft,Normal,Rock plate,Very bad,Good,Decent,Moderate,Medium,Medium,Moderate,Moderate,Moderate,3.4 mm,38.3 mm 38.0 mm,27.4 mm 28.5 mm,Normal,0,All seasons,1,1,-,#37 Top 10%,#126 Top 34%
Nike Winflo 11,86 Good!,2174820 Rp,-,Moderate,Low,Moderate,Neutral,10.4 oz / 295g 10 oz / 283g,0,12.3 mm 10.0 mm,Heel,True to size,Soft,Normal,0,Decent,Good,Good,Moderate,Narrow,Medium,Moderate,Stiff,Moderate,‐,37.6 mm 35.0 mm,25.3 mm 25.0 mm,Normal Wide X-Wide,0,All seasons,1,1,,#198 Bottom 47%,#75 Top 20%
Nike Zegama 2,87 Great!,$180,Moderate,Moderate,Moderate,-,Neutral,10.7 oz / 302g 10.7 oz / 303g,0,4.0 mm 4.0 mm,Mid/forefoot,True to size,Soft,Small,0,Good,Good,Good,Moderate,Medium,Wide,Moderate,Stiff,Flexible,4.0 mm,30.3 mm 36.0 mm,26.3 mm 32.0 mm,Normal,0,All seasons,1,1,-,#154 Top 41%,#105 Top 28%
Nike Zoom Fly 6,92 Superb!,3361090 Rp,-,High,Moderate,Moderate,Neutral,8.7 oz / 248g 8.6 oz / 244g,1,9.6 mm 8.0 mm,Heel Mid/forefoot,True to size,Soft,Small,Carbon plate,Very good,Good,Good,Moderate,Narrow,Medium,Stiff,Stiff,Stiff,‐,39.7 mm 40.0 mm,30.1 mm 32.0 mm,Normal,0,All seasons,1,1,-,#15 Top 4%,#27 Top 8%
NNormal Kjerag,93 Superb!,$195,Light,Moderate,Moderate,,Neutral,7.5 oz / 214g 7.1 oz / 200g,1,8.6 mm 6.0 mm,Mid/forefoot,True to size,Balanced,Normal,0,Decent,Decent,Decent,Warm,Medium,Medium,Flexible,Moderate,Flexible,3.0 mm,25.0 mm 23.5 mm,16.4 mm 17.5 mm,Normal,0,All seasons,0,0,-,#7 Top 2%,#262 Bottom 30%
On Cloudsurfer Trail,86 Good!,3382440 Rp,Light,High,Low,-,Neutral,9.6 oz / 272g 9.6 oz / 272g,0,10.7 mm 7.0 mm,Heel,True to size,Balanced,Small,0,Decent,Bad,Good,Moderate,Medium,Medium,Moderate,Stiff,Moderate,2.5 mm,37.4 mm 41.0 mm,26.7 mm 34.0 mm,Normal,1,All seasons,1,1,,#409 Bottom 39%,#377 Bottom 44%
On Cloudsurfer Trail 2,N/A,3361750 Rp,Light,Moderate,Low,High,Neutral,10 oz / 283g 10.1 oz / 287g,0,14.0 mm 8.0 mm,Heel,-,Balanced,Small,0,Decent,Good,Good,Moderate,Medium,Narrow,Moderate,Stiff,Stiff,2.0 mm,40.8 mm 34.0 mm,26.8 mm 26.0 mm,Normal,0,All seasons,1,1,-,#204 Bottom 46%,#243 Bottom 35%
On Cloudsurfer Trail 2,N/A,3361750 Rp,Light,Moderate,Low,High,Neutral,10 oz / 283g 10.1 oz / 287g,0,14.0 mm 8.0 mm,Heel,-,Balanced,Small,0,Decent,Good,Good,Moderate,Medium,Narrow,Moderate,Stiff,Stiff,2.0 mm,40.8 mm 34.0 mm,26.8 mm 26.0 mm,Normal,0,All seasons,1,1,,#204 Bottom 46%,#243 Bottom 35%
On Cloudultra 2,89 Great!,$180,Light,Moderate,Moderate,-,Neutral,10.4 oz / 296g 10.4 oz / 295g,0,10.2 mm 6.0 mm,Heel,True to size,Firm,Small,Rock plate,Bad,Decent,Good,Breathable,Medium,Medium,Flexible,Flexible,Flexible,2.5 mm,30.2 mm 27.0 mm,20.0 mm 21.0 mm,Normal,0,Summer All seasons,1,1,-,#108 Top 29%,#268 Bottom 29%
On Cloudvista,89 Great!,$150,Light,-,-,-,Neutral,10.1 oz / 285g 9.9 oz / 280g,0,10.3 mm 10.3 mm,Heel,Half size small,Balanced,Big,Rock plate,Very bad,Bad,Good,Breathable,Medium,Medium,Stiff,Moderate,Flexible,2.5 mm,32.3 mm 32.3 mm,22.0 mm 22.0 mm,Normal,0,Summer All seasons,1,1,-,#153 Top 23%,#475 Bottom 29%
On Cloudvista 2,89 Great!,$150,Light,Moderate,Low,-,Neutral,10.3 oz / 292g 10.9 oz / 309g,0,6.0 mm 5.0 mm,Mid/forefoot,True to size,Balanced,Small,0,Decent,Bad,Good,Warm,Narrow,Medium,Moderate,Stiff,Moderate,3.1 mm,31.7 mm 29.0 mm,25.7 mm 24.0 mm,Narrow Normal,0,All seasons,1,1,-,#114 Top 31%,#184 Top 49%
On Cloudvista 2,89 Great!,$150,Light,Moderate,Low,-,Neutral,10.3 oz / 292g 10.9 oz / 309g,0,6.0 mm 5.0 mm,Mid/forefoot,True to size,Balanced,Small,0,Decent,Bad,Good,Warm,Narrow,Medium,Moderate,Stiff,Moderate,3.1 mm,31.7 mm 29.0 mm,25.7 mm 24.0 mm,Narrow Normal,0,All seasons,1,1,,#114 Top 31%,#184 Top 49%
Salomon Genesis,92 Superb!,2965660 Rp,Moderate Technical,Moderate,Moderate,-,Neutral,9.9 oz / 282g 9.7 oz / 275g,0,9.0 mm 8.0 mm,Heel Mid/forefoot,True to size,Balanced,Small,0,Good,Good,Decent,Moderate,Medium,Medium,Moderate,Moderate,Stiff,4.0 mm,33.5 mm 33.0 mm,24.5 mm 25.0 mm,Normal,0,All seasons,1,1,Water repellent,#14 Top 4%,#227 Bottom 40%
Salomon Pulsar Trail,87 Great!,2966250 Rp,Light,-,-,-,Neutral,9.9 oz / 281g 9.9 oz / 280g,,7.2 mm 6.0 mm,Mid/forefoot,True to size,Soft,Small,Rock plate,Decent,Good,Good,Moderate,Medium,Medium,Stiff,Stiff,Moderate,2.5 mm,31.0 mm 32.6 mm,23.8 mm 26.6 mm,Normal,0,All seasons,1,1,-,#155 Top 41%,#305 Bottom 19%
Salomon S/Lab Genesis,92 Superb!,3955000 Rp,Moderate,Moderate,Moderate,High,Neutral,8.8 oz / 249g 9.1 oz / 258g,1,7.8 mm 8.0 mm,Mid/forefoot,True to size,Soft,Small,Rock plate,Bad,Decent,Decent,Moderate,Medium,Medium,Moderate,Moderate,Flexible,4.3 mm,31.9 mm 33.0 mm,24.1 mm 25.0 mm,Normal,0,All seasons,1,1,-,#17 Top 5%,#351 Bottom 7%
Salomon S/Lab Pulsar 4,78 Decent!,4350500 Rp,Light,High,Low,High,Neutral,8.7 oz / 247g 8.8 oz / 250g,1,7.1 mm 6.0 mm,Mid/forefoot,-,Soft,Normal,0,Decent,Good,Good,Warm,Medium,Medium,Moderate,Stiff,Moderate,3.0 mm,32.6 mm 31.0 mm,25.5 mm 25.0 mm,Normal,0,All seasons,0,0,-,#340 Bottom 10%,#373 Bottom 1%
Salomon S/Lab Ultra,82 Good!,4746000 Rp,Light Moderate,High,Moderate,High,Neutral,10.2 oz / 290g 10.3 oz / 293g,0,10.2 mm 8.0 mm,Heel,-,Soft,Normal,0,Bad,Good,Good,Moderate,Narrow,Narrow,Moderate,Stiff,Flexible,3.5 mm,36.3 mm 40.0 mm,26.1 mm 32.0 mm,Normal,0,All seasons,1,1,-,#285 Bottom 24%,#366 Bottom 3%
Salomon S/Lab Ultra Glide,77 Decent!,4943750 Rp,Light Moderate,Moderate,Low,High,Neutral,10.8 oz / 305g 10.2 oz / 290g,0,7.2 mm 6.0 mm,Mid/forefoot,-,Balanced,Small,0,Good,Good,Good,Warm,Narrow,Medium,Stiff,Stiff,Moderate,3.2 mm,41.0 mm 41.0 mm,33.8 mm 35.0 mm,Normal,0,All seasons,1,1,-,#350 Bottom 7%,#360 Bottom 5%
Salomon Sense Pro 4,87 Great!,2965660 Rp,Moderate Technical,-,-,-,Neutral,9.6 oz / 272g 9 oz / 255g,,4.0 mm 4.0 mm,Mid/forefoot,-,-,-,Rock plate,-,-,-,-,Medium,-,Stiff,-,Flexible,4.3 mm,24.4 mm 25.0 mm,20.5 mm 21.0 mm,Normal,0,-,0,0,Water repellent,#156 Top 42%,#369 Bottom 2%
Salomon Sense Ride 4,88 Great!,2373000 Rp,Moderate,-,-,-,Neutral,10.5 oz / 297g 10.2 oz / 290g,0,7.3 mm 8.0 mm,Mid/forefoot,True to size,-,-,0,-,-,-,Moderate,Medium,-,Stiff,Moderate,-,3.6 mm,26.5 mm 27.0 mm,19.2 mm 19.0 mm,Normal,0,All seasons,1,1,-,#244 Top 37%,#503 Bottom 25%
Salomon Sense Ride 5,89 Great!,$140,Light Moderate,Low,Moderate,-,Neutral,10.3 oz / 291g 10.3 oz / 291g,0,8.7 mm 8.3 mm,Heel Mid/forefoot,Slightly small,Balanced,Small,0,-,-,-,Moderate,Medium,Medium,Moderate,Moderate,Flexible,3.5 mm,27.2 mm 29.6 mm,18.5 mm 21.3 mm,Narrow Normal,0,All seasons,1,1,-,#111 Top 30%,#168 Top 45%
Salomon Speedcross 6,89 Great!,$145,Technical,Low,Low,-,Neutral,10.4 oz / 296g 10.5 oz / 298g,0,14.1 mm 10.0 mm,Heel,True to size,Firm,Small,0,Good,Decent,Decent,Warm,Medium,Medium,Moderate,Stiff,Stiff,5.8 mm,36.5 mm 32.0 mm,22.4 mm 22.0 mm,Normal Wide,0,Winter,1,1,-,#109 Top 29%,#71 Top 19%
Salomon Speedcross 6 GTX,87 Great!,3361750 Rp,Technical,-,-,-,Neutral,11.5 oz / 325g 11.6 oz / 328g,,11.2 mm 10.0 mm,Heel,Slightly small,Firm,Small,0,Good,Good,Decent,Warm,Medium,Medium,Stiff,Stiff,Stiff,5.0 mm,37.0 mm 32.0 mm,25.8 mm 22.0 mm,Normal,0,Winter,1,1,Waterproof,#168 Top 45%,#120 Top 32%
Salomon Supercross 4,85 Good!,$120,Moderate Technical,-,-,-,Neutral,11.1 oz / 315g 10.7 oz / 303g,0,15.2 mm 11.0 mm,Heel,True to size,Soft,Small,0,Good,Good,Good,Moderate,Medium,Narrow,Stiff,Flexible,Flexible,4.2 mm,35.1 mm 32.0 mm,19.9 mm 21.0 mm,Normal,0,All seasons,1,1,0,#221 Bottom 41%,#254 Bottom 32%
Salomon Thundercross,89 Great!,2768500 Rp,Moderate Technical,Low,Low,-,Neutral,9.6 oz / 271g 10.2 oz / 290g,0,3.0 mm 4.0 mm,Mid/forefoot,True to size,Soft,Normal,0,Good,Decent,Good,Warm,Medium,Medium,Moderate,Stiff,Flexible,4.0 mm,27.6 mm 31.0 mm,24.6 mm 27.0 mm,Normal,0,Winter,1,1,-,#103 Top 28%,#231 Bottom 39%
Salomon Ultra Flow,83 Good!,2570750 Rp,Light,Moderate,Moderate,-,Neutral,9.1 oz / 258g 8.6 oz / 244g,0,12.5 mm 6.0 mm,Heel,Slightly small,Soft,Normal,0,Good,Decent,Decent,Moderate,Medium,Medium,Moderate,Stiff,Stiff,2.8 mm,34.9 mm 32.0 mm,22.4 mm 26.0 mm,Normal,0,All seasons,1,1,-,#281 Bottom 25%,#307 Bottom 18%
Salomon Ultra Glide,89 Great!,$140,Light Moderate,-,-,-,Neutral,9.7 oz / 275g 10 oz / 283g,,8.8 mm 6.0 mm,Heel Mid/forefoot,True to size,Balanced,Normal,0,Good,-,-,Breathable,Narrow,Medium,Stiff,Flexible,Moderate,3.0 mm,31.2 mm 32.0 mm,22.4 mm 26.0 mm,Normal Wide,0,Summer All seasons,1,1,-,#186 Top 28%,#396 Bottom 41%
Salomon Ultra Glide 2,86 Good!,$150,Light Moderate,Moderate,Moderate,-,Neutral,10.1 oz / 286g 9.2 oz / 260g,0,7.2 mm 6.0 mm,Mid/forefoot,True to size,Soft,Big,0,Bad,-,-,Moderate,Narrow,Narrow,Moderate,Flexible,Moderate,2.8 mm,30.6 mm 32.0 mm,23.4 mm 26.0 mm,Normal,0,All seasons,0,0,-,#187 Top 50%,#208 Bottom 45%
Salomon XA Pro 3D GTX,87 Great!,3361750 Rp,Light Moderate,-,-,-,Stability,13.4 oz / 379g 14.3 oz / 405g,0,13.1 mm 12.0 mm,Heel,True to size,Firm,Small,0,-,-,-,Warm,Medium,-,Stiff,Stiff,Stiff,2.9 mm,31.9 mm 27.0 mm,18.8 mm 15.0 mm,Normal,0,Winter,1,1,Waterproof,#362 Bottom 46%,#354 Bottom 47%
Salomon XA Pro 3D V8,89 Great!,2966250 Rp,Light Moderate,-,-,-,Stability,12.3 oz / 350g 12 oz / 340g,,14.6 mm 11.0 mm,Heel,True to size,Firm,Small,0,-,-,-,Moderate,Medium,-,Stiff,Stiff,Stiff,2.9 mm,35.0 mm 28.0 mm,20.4 mm 17.0 mm,Normal Wide,0,All seasons,1,1,-,#190 Top 29%,#534 Bottom 20%
Salomon XA Pro 3D v9,75 Bad!,2966250 Rp,Light Moderate,-,-,-,Stability,12.2 oz / 346g 11.4 oz / 323g,0,12.5 mm 11.0 mm,Heel,True to size,Firm,Small,0,Very good,Decent,Good,Moderate,Wide,Medium,Stiff,Stiff,Stiff,2.8 mm,31.7 mm 28.0 mm,19.2 mm 17.0 mm,Normal Wide,0,All seasons,1,1,-,#361 Bottom 4%,#123 Top 33%
Salomon XA Pro 3D v9 GTX,83 Good!,3361750 Rp,Light Moderate,Low,Low,-,Stability,12.7 oz / 359g 12.7 oz / 360g,0,13.5 mm 11.0 mm,Heel,True to size,Firm,Small,Rock plate,Very good,Decent,Good,Warm,Medium,Medium,Stiff,Stiff,Stiff,2.8 mm,33.5 mm,20.0 mm,Normal Wide,0,Winter,1,1,Waterproof,#263 Bottom 30%,#45 Top 12%
Saucony Endorphin Edge,"87
 Great!",$200,Moderate,Moderate,High,-,Neutral,9.5 oz / 269g 9.1 oz / 258g,0,7.1 mm 6.0 mm,Mid/forefoot,True to size,Soft,Small,Carbon plate,-,-,-,Moderate,Narrow,-,Stiff,Stiff,Moderate,3.4 mm,33.4 mm 36.0 mm,26.3 mm 30.0 mm,Normal,0,All seasons,1,1,-,#175 Top 47%,#270 Bottom 28%
Saucony Endorphin Rift,"85
 Good!",$170,Technical,-,-,-,Neutral,9 oz / 255g 9.1 oz / 258g,0,7.9 mm 6.0 mm,Mid/forefoot,True to size,Soft,Small,Rock plate,Good,Good,Good,Breathable,Medium,Medium,Stiff,Moderate,Moderate,4.5 mm,33.0 mm 34.0 mm,25.1 mm 28.0 mm,Normal,0,SummerAll seasons,1,1,-,#331 Bottom 12%,#292 Bottom 22%
Saucony Endorphin Trail,85 Good!,3559500 Rp,Technical,-,-,,Neutral,11 oz / 312g 10.4 oz / 295g,0,5.2 mm 4.0 mm,Mid/forefoot,True to size,-,-,0,-,-,-,-,Medium,-,Stiff,Stiff,Stiff,4.5 mm,36.3 mm 36.5 mm,31.1 mm 32.5 mm,Normal,,-,1,1,-,#205 Bottom 45%,#315 Bottom 16%
Saucony Peregrine 11,"88
 Great!",2768500Rp,Technical,-,-,-,Neutral,11.2 oz / 318g 10.9 oz / 310g,0,5.1 mm 4.0 mm,Mid/forefoot,Slightly large,-,-,Rock plate,-,-,-,-,Medium,-,Stiff,Moderate,-,4.4 mm,27.5 mm 27.0 mm,22.4 mm 23.0 mm,Normal,0,-,1,1,-,#275 Top 41%,#624 Bottom 7%
Saucony Peregrine 12,"86
 Good!",3065130Rp,Technical,-,-,-,Neutral,10.1 oz / 285g 9.6 oz / 272g,0,6.9 mm 4.0 mm,Mid/forefoot,True to size,-,-,Rock plate,-,-,-,-,Wide,-,Stiff,-,-,4.6 mm,30.2 mm 26.5 mm,23.2 mm 22.5 mm,NormalWide,0,-,0,0,-,#369 Bottom 45%,#560 Bottom 16%
Saucony Peregrine 13,"89
 Great!",3065130Rp,Technical,-,-,-,Neutral,9.6 oz / 271g 9.6 oz / 271g,0,3.9 mm 4.0 mm,Mid/forefoot,Slightly small,Balanced,Small,Rock plate,-,-,-,Moderate,Medium,Narrow,Stiff,Flexible,Moderate,4.8 mm,27.5 mm 28.0 mm,23.6 mm 24.0 mm,Normal,0,All seasons,1,1,-,#196 Top 30%,#486 Bottom 27%
Saucony Peregrine 14,"88
 Great!",3064520Rp,ModerateTechnical,Moderate,Moderate,-,Neutral,9.4 oz / 266g 9.4 oz / 267g,0,2.2 mm 4.0 mm,Mid/forefoot,True to size,Balanced,Small,Rock plate,Decent,Decent,Good,Moderate,Wide,Medium,Moderate,Moderate,Moderate,4.7 mm,27.3 mm 31.0 mm,25.1 mm 27.0 mm,NormalWide,0,All seasons,1,1,-,#233 Top 35%,#487 Bottom 27%
Saucony Peregrine 15,"85
 Good!",$140,LightModerate,Moderate,Moderate,-,Neutral,9.4 oz / 266g 9.7 oz / 275g,0,3.7 mm 4.0 mm,Mid/forefoot,True to size,Soft,Small,Rock plate,Good,Decent,Good,Moderate,Medium,Narrow,Moderate,Flexible,Moderate,4.7 mm,29.5 mm 28.0 mm,25.8 mm 24.0 mm,NormalWide,0,All seasons,1,1,-,#231 Bottom 39%,#114 Top 31%
Saucony Xodus Ultra,87 Great!,$150,Moderate Technical,-,-,,Neutral,10.1 oz / 286g 10.3 oz / 292g,0,7.2 mm 6.0 mm,Mid/forefoot,True to size,Balanced,Normal,Rock plate,-,-,-,Moderate,Narrow,-,Stiff,Moderate,Moderate,3.8 mm,33.9 mm 32.0 mm,26.7 mm 26.0 mm,Normal,,All seasons,1,1,-,#331 Top 50%,#491 Bottom 27%
Saucony Xodus Ultra 2,88 Great!,3361750 Rp,Moderate Technical,-,-,,Neutral,10.3 oz / 293g 9.2 oz / 262g,0,7.3 mm 6.0 mm,Mid/forefoot,True to size,Balanced,Small,Rock plate,Bad,Good,Decent,Moderate,Medium,Medium,Stiff,Stiff,Stiff,4.6 mm,34.1 mm 32.5 mm,26.8 mm 26.5 mm,Normal,,All seasons,1,1,-,#240 Top 36%,#586 Bottom 13%
Saucony Xodus Ultra 3,87 Great!,3361750 Rp,Technical,Moderate,Moderate,,Neutral,10.7 oz / 302g 10.2 oz / 288g,0,5.9 mm 6.0 mm,Mid/forefoot,True to size,Soft,Small,Rock plate,Decent,Good,Good,Moderate,Medium,Medium,Moderate,Stiff,Flexible,4.3 mm,35.1 mm 36.0 mm,29.2 mm 30.0 mm,Normal,,All seasons,1,1,-,#363 Bottom 46%,#505 Bottom 25%
Saucony Xodus Ultra 4,"88
 Great!",$170,Light,Moderate,Moderate,High,Neutral,11 oz / 312g 10.9 oz / 309g,0,6.5 mm 6.0 mm,Mid/forefoot,-,Soft,Normal,0,Decent,Bad,Decent,Moderate,Medium,Medium,Moderate,Stiff,Stiff,3.5 mm,37.6 mm 36.0 mm,31.1 mm 30.0 mm,Normal,0,All seasons,1,1,-,#134 Top 36%,#195 Bottom 48%
Scarpa Spin Planet,94 Superb!,$160,Light Moderate,-,-,-,Neutral,11.4 oz / 322g 10.2 oz / 290g,0,6.2 mm 4.0 mm,Mid/forefoot,True to size,Balanced,Normal,0,Decent,Good,Decent,Breathable,Medium,Medium,Stiff,Stiff,Moderate,3.2 mm,32.8 mm 28.5 mm,26.6 mm 24.5 mm,Normal,0,Summer All seasons,1,1,-,#2 Top 1%,#355 Bottom 6%
The North Face Vectiv Enduris 3,90 Great!,$150,Light,-,-,-,Neutral,9.7 oz / 275g 10.8 oz / 307g,0,11.6 mm 6.0 mm,Heel,True to size,Balanced,Normal,0,Good,Good,Good,Warm,Medium,Medium,Moderate,Stiff,Stiff,3.3 mm,35.8 mm 30.0 mm,24.2 mm 24.0 mm,Normal,0,All seasons,1,1,-,#50 Top 14%,#264 Bottom 30%
Topo MTN Racer 3,87 Great!,3460630 Rp,Light Moderate,-,-,-,Neutral,10.1 oz / 286g 9.8 oz / 278g,0,6.9 mm 5.0 mm,Mid/forefoot,Slightly small,Balanced,Small,0,Bad,Decent,Good,Moderate,Wide,Wide,Stiff,Stiff,Moderate,4.2 mm,33.5 mm 33.5 mm,26.6 mm 28.5 mm,Normal,0,All seasons,1,1,-,#177 Top 47%,#258 Bottom 31%
Topo Traverse,90 Great!,3460630 Rp,Light Moderate,-,-,-,Neutral,10.9 oz / 308g 10.6 oz / 300g,0,4.8 mm 5.0 mm,Mid/forefoot,Slightly small,Balanced,Small,Rock plate,Bad,Good,Good,Moderate,Wide,Wide,Stiff,Stiff,Moderate,4.1 mm,30.8 mm 30.0 mm,26.0 mm 25.0 mm,Normal Wide,0,All seasons,1,1,Water repellent,#45 Top 12%,#275 Bottom 27%
Topo Ultraventure 3,88 Great!,$150,Light,High,Low,-,Neutral,9.7 oz / 276g 10.2 oz / 289g,0,6.3 mm 5.0 mm,Mid/forefoot,True to size,Soft,Small,0,Decent,Decent,Good,Moderate,Wide,Wide,Moderate,Stiff,Moderate,3.2 mm,37.2 mm 35.0 mm,30.9 mm 30.0 mm,Normal,0,All seasons,1,1,-,#270 Top 41%,#185 Top 28%
Topo Ultraventure 4,86 Good!,$150,Light,Moderate,Low,-,Neutral,10.1 oz / 286g 10.1 oz / 285g,0,6.6 mm 5.0 mm,Mid/forefoot,True to size,Soft,Small,0,Bad,Decent,Good,Moderate,Wide,Wide,Moderate,Moderate,Flexible,3.2 mm,35.1 mm 35.0 mm,28.5 mm 30.0 mm,Normal Wide,0,All seasons,1,1,-,#182 Top 49%,#162 Top 43%
Topo Ultraventure 4,86 Good!,$150,Light,Moderate,Low,-,Neutral,10.1 oz / 286g 10.1 oz / 285g,0,6.6 mm 5.0 mm,Mid/forefoot,True to size,Soft,Small,0,Bad,Decent,Good,Moderate,Wide,Wide,Moderate,Moderate,Flexible,3.2 mm,35.1 mm 35.0 mm,28.5 mm 30.0 mm,Normal Wide,0,All seasons,1,1,-,#183 Top 49%,#163 Top 44%
Xero Shoes Mesa Trail WP,66 Bad!,2966250 Rp,Light,-,-,-,Neutral,9.7 oz / 274g 9.6 oz / 272g,0,1.2 mm 0.0 mm,Mid/forefoot,Slightly small,Balanced,Small,0,Decent,Bad,Decent,Warm,Medium,Wide,Moderate,Flexible,Flexible,3.8 mm,14.6 mm 8.0 mm,13.4 mm 8.0 mm,Normal Wide,0,Winter,1,1,Waterproof,#378 Bottom 1%,#364 Bottom 3%
Xero Shoes Scrambler Low,88 Great!,3164000 Rp,Light,-,-,-,Neutral,9.2 oz / 261g 9.2 oz / 260g,0,-0.1 mm 0.0 mm,Mid/forefoot,True to size,Firm,Small,0,Decent,Decent,Decent,Breathable,Medium,Wide,Moderate,Flexible,Flexible,2.7 mm,16.3 mm 15.0 mm,16.4 mm 15.0 mm,Normal Wide,0,Summer All seasons,1,1,-,#126 Top 34%,#354 Bottom 6%
